Depth_meter,Area_meterSquared
0,14568.696
1,13256.897681072
2,12006.9766413387
3,10818.9328808002
4,9692.76639945635
5,8628.47719730723
6,7626.06527435282
7,6685.53063059313
8,5806.87326602816
9,4990.0931806579
10,4235.19037448236
11,3542.16484750154
12,2911.01659971543
13,2341.74563112404
14,1834.35194172737
15,1388.83553152541
16,1005.19640051817
17,683.434548705642
18,423.549976087833
19,225.542682664741
20,89.4126684363651
21,15.1599334027055
