datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,SpecHumidity.kg_kg,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2023-01-01 00:00:00,-0.630010999999968,0,299.519989,0.0026485,69.3371434795282,4.50405367928714,0,95663.46094
2023-01-01 01:00:00,-0.779974399999958,0,299.519989,0.0026793,70.8775599444335,4.76215296233962,0,95608.85938
2023-01-01 02:00:00,-0.929998799999964,0,299.519989,0.0027099,72.4379985337962,5.05319709717324,0,95553.52344
2023-01-01 03:00:00,-1.07999269999999,0,305.4400024,0.0027412,74.0431418038019,5.36660973001578,0.2784,95498.28125
2023-01-01 04:00:00,-1.12000119999999,0,305.4400024,0.0029699,80.4304094884979,5.09480124074531,2.889599928,95467
2023-01-01 05:00:00,-1.16000979999995,0,305.4400024,0.0031985,86.8479401427834,4.87984633927545,3.081599952,95435.71875
2023-01-01 06:00:00,-1.20999759999995,0,303.9899902,0.0034272,93.369067915357,4.72950320348131,1.526400096,95403.70313
2023-01-01 07:00:00,-1.26999509999996,0,303.9899902,0.0034499,94.3736911249331,4.12004842940468,0,95373.89844
2023-01-01 08:00:00,-1.32996219999995,0,303.9899902,0.0034726,95.3842444483306,3.59389755856229,0,95343.35938
2023-01-01 09:00:00,-1.38001099999997,0,289.4700012,0.003495,96.3231529249794,3.19419787396461,0,95312.92188
2023-01-01 10:00:00,-1.54001459999995,0,289.480011,0.0034845,97.2300419481215,2.92249886049593,0,95369.29688
2023-01-01 11:00:00,-1.69000849999998,0,289.480011,0.0034741,98.0763921433485,2.86447201410661,0,95425.67969
2023-01-01 12:00:00,-1.8400024,0,268.75,0.0034637,98.930532724868,3.03621468681976,0,95482.0625
2023-01-01 13:00:00,-1.69000849999998,0,268.75,0.0034292,97.0130969674338,3.292734341255,0,95627.25781
2023-01-01 14:00:00,-1.54001459999995,30.35199928,268.7399902,0.0033949,95.129990109179,3.55185875156375,0,95772.5625
2023-01-01 15:00:00,-1.3899902,177.2319946,218.1799927,0.0033604,93.2691057629292,3.81874330825731,0,95917.75781
2023-01-01 16:00:00,-0.649999999999977,281.9039917,218.1799927,0.0034168,89.7583825240233,3.96868987687373,0,95851.97656
2023-01-01 17:00:00,0.100000000000023,350.4830017,218.1799927,0.0034727,86.3085573908109,4.10907533508696,0,95785.5625
2023-01-01 18:00:00,0.850000000000023,379.394989,222.1900024,0.0035289,83.004852203273,4.25920170378441,0,95719.67969
2023-01-01 19:00:00,0.899987800000019,342.821991,222.1900024,0.0035139,82.3774245710778,4.70558198879799,0,95747.0625
2023-01-01 20:00:00,0.959985400000051,273.9490051,222.1900024,0.0034992,81.7007141286157,5.14230474105532,0,95773.79688
2023-01-01 21:00:00,1.02001340000004,136.7680054,218.5899963,0.0034848,81.0351878327383,5.5887029971327,0,95800.64063
2023-01-01 22:00:00,0.409997599999997,36.83200073,218.6000061,0.003459,84.1194762993993,5.02474890376027,0,95860.92188
2023-01-01 23:00:00,-0.199957299999994,0,218.6000061,0.0034329,87.3267610702805,4.45202199147084,0,95920.5625
2023-01-02 00:00:00,-0.809973099999979,0,215.6199951,0.0034072,90.6821892531846,3.89313500398329,0,95980.29688
2023-01-02 01:00:00,-1.0900024,0,215.6199951,0.0033487,91.0672680764733,4.04811070220171,0,96077.34375
2023-01-02 02:00:00,-1.35996089999998,0,215.6199951,0.0032906,91.373698965942,4.23958728179525,0,96174.47656
2023-01-02 03:00:00,-1.63001099999997,0,224.2400055,0.0032321,91.6457881359261,4.4628690701924,0,96271.61719
2023-01-02 04:00:00,-2.04001459999995,0,224.2400055,0.003165,92.4774397354431,4.02359290285685,0,96243.75781
2023-01-02 05:00:00,-2.44998779999997,0,224.2400055,0.0030978,93.2810078942291,3.61474749544695,0,96215.89844
2023-01-02 06:00:00,-2.85999149999998,0,227.75,0.0030307,94.0603634607742,3.25041545278754,0,96188.14063
2023-01-02 07:00:00,-3.26999509999996,0,227.75,0.0029527,94.5410682760794,2.90270565626624,0,96242.17969
2023-01-02 08:00:00,-3.69000849999998,0,227.75,0.0028745,95.0324091782947,2.60017304573369,0,96296.11719
2023-01-02 09:00:00,-4.10001219999998,0,235.9700012,0.002796,95.3839801007767,2.35671385614801,0,96350.15625
2023-01-02 10:00:00,-4.20999759999995,0,235.9700012,0.0027676,95.1957801726781,2.26631856212669,0,96345.17969
2023-01-02 11:00:00,-4.32001339999999,0,235.9700012,0.0027399,95.0230619536041,2.17800364679676,0,96340.10156
2023-01-02 12:00:00,-4.44000849999998,0,230.7299957,0.0027117,94.8956805400663,2.09611550670759,0,96335.02344
2023-01-02 13:00:00,-4.16000979999995,0,230.7299957,0.0028078,96.2522800117396,1.62806637214826,0,96382.15625
2023-01-02 14:00:00,-3.8899902,29.65600014,230.7299957,0.0029038,97.5878526836159,1.16970079469923,0,96428.65625
2023-01-02 15:00:00,-3.62000119999999,167.8880005,231.0800018,0.0030001,98.8489640951833,0.709365934564101,0,96475.70313
2023-01-02 16:00:00,-2.48999629999997,267.1839905,231.0700073,0.0029332,88.8033956243955,0.758023746184775,0,96450.70313
2023-01-02 17:00:00,-1.37000119999999,332.3850098,231.0700073,0.0028662,79.8560352731324,0.962548676888603,0,96426.24219
2023-01-02 18:00:00,-0.25000609999995,344.4460144,248.3000031,0.0027993,71.8277665110888,1.24651513620975,0,96401.78125
